2013-02-16,2279,2703.14977376
2013-02-17,2321,2238.31681752
2013-02-18,2123,2135.37086698
2013-02-19,2342,2844.70872635
2013-02-20,2684,5896.20657768
2013-02-21,2358,5716.6003137
2013-02-22,2812,7080.22164538
2013-02-23,2558,5588.39141677
2013-02-24,2466,4633.70923164
2013-02-25,3030,4742.26144884
2013-02-26,2684,4067.45077787
2013-02-27,2697,4776.44870545
2013-02-28,2810,5029.98860531
2013-03-01,2953,4602.00491022
2013-03-02,2654,3546.34240653
2013-03-03,2678,3600.44738411
2013-03-04,3131,3161.20437216
2013-03-05,2296,3039.28983665
2013-03-06,2558,4768.29871653
2013-03-07,2907,5938.55363229
2013-03-08,2439,4972.82529516
2013-03-09,2468,3681.12988928
2013-03-10,3491,4772.78052127
2013-03-11,2779,4365.29031742
2013-03-12,2057,3059.61087509
2013-03-13,2274,3117.01039887
2013-03-14,2499,3532.16172623
2013-03-15,2990,3954.55327785
2013-03-16,1125,1210.69977564
2013-03-17,1122,2046.39183877
2013-03-18,1537,2036.51740821
2013-03-19,1498,1752.85126445
2013-03-20,1468,1941.85880599
2013-03-21,2143,2374.21566045
2013-03-22,2273,2886.72531688
2013-03-23,2054,1854.57273258
2013-03-24,1613,1307.98229281
2013-03-25,1607,1480.91582632
2013-03-26,1435,1319.49109235
2013-03-27,1571,1511.06676918
2013-03-28,1870,2468.84364517
2013-03-29,2166,2444.04851963
2013-03-30,2098,2043.79062878
2013-03-31,1590,1437.01272524
2013-04-01,1755,1669.85405413
2013-04-02,1921,1709.42008832
2013-04-03,1832,1557.65046406
2013-04-04,1949,1258.8720757
2013-04-05,1701,1144.7579383
2013-04-06,1598,848.42286869
2013-04-07,2729,973.26872582
2013-04-08,1660,1374.9254969
2013-04-09,1364,957.53139413
2013-04-10,625,350.29234852
2013-04-11,1563,804.51060617
2013-04-12,1489,886.46032242
2013-04-13,1627,922.3268386
2013-04-14,2429,1410.7660067
2013-04-15,1804,1972.40948074
2013-04-16,2285,1725.21389151
2013-04-17,1509,1180.36268753
2013-04-18,1199,1081.37695525
2013-04-19,1509,995.86267958
2013-04-20,1603,734.60641275
2013-04-21,1144,1306.67400701
2013-04-22,1219,1007.49970618
2013-04-23,1879,1392.68478248
2013-04-24,2264,1456.83362869
2013-04-25,1886,1216.56396063
2013-04-26,1810,1242.86896568
2013-04-27,1307,882.75928982
2013-04-28,1194,807.52225499
2013-04-29,1372,946.59758171
2013-04-30,1505,846.39718918
2013-05-01,1700,1000.0007814
2013-05-02,1879,1066.0507777
2013-05-03,1680,943.72009509
2013-05-04,2053,1161.28339874
2013-05-05,1767,990.88824872
2013-05-06,1764,983.74522596
2013-05-07,1949,1174.35661287
2013-05-08,1482,922.65207296
2013-05-09,2664,1731.98756825
2013-05-10,2668,1853.6214026
2013-05-11,3219,2194.8109572
2013-05-12,2831,2124.01403327
2013-05-13,2239,1787.9777945
2013-05-14,2449,1664.99727813
2013-05-15,2278,2009.96879134
2013-05-16,2051,1732.44398097
2013-05-17,2070,1698.41423173
2013-05-18,1895,2192.48560445
2013-05-19,1829,1685.78210192
2013-05-20,1545,1573.97745631
2013-05-21,1725,2161.28845247
2013-05-22,1654,1826.13310656
2013-05-23,1904,4162.35039021
2013-05-24,1674,3183.63948248
2013-05-25,1928,3397.0508225
2013-05-26,1135,1547.96356254
2013-05-27,1837,3246.76540673
2013-05-28,1997,4535.4613157
2013-05-29,1716,3096.65456635
2013-05-30,1959,2536.79804541
2013-05-31,1755,1877.19153736
2013-06-01,2093,2000.43321685
2013-06-02,1788,1719.56086308
2013-06-03,1819,2488.3255866
2013-06-04,1925,3215.82054402
2013-06-05,2088,1776.93614158
2013-06-06,1725,1127.40081797
2013-06-07,1580,1289.65563512
2013-06-08,1668,1273.21366895
2013-06-09,1485,1079.85646621
2013-06-10,1414,1332.70686205
2013-06-11,1624,1496.18625046
2013-06-12,1457,1332.42261418
2013-06-13,1214,1026.50268073
2013-06-14,1483,1127.28448094
2013-06-15,1042,910.5593483
2013-06-16,1582,2113.16275208
2013-06-17,1709,1907.16043276
2013-06-18,1449,1697.30058139
2013-06-19,1397,1453.18369206
2013-06-20,1658,2040.21462454
2013-06-21,1422,2290.17868878
2013-06-22,1564,1895.65045591
2013-06-23,1214,1314.59790421
2013-06-24,1281,1330.82638334
2013-06-25,1299,1431.20733217
2013-06-26,1244,1269.00243307
2013-06-27,1455,1159.45799789
2013-06-28,1435,1292.61912827
2013-06-29,1011,994.30122519
2013-06-30,792,557.68781162
2013-07-01,645,493.71119788
2013-07-02,737,758.7076716
2013-07-03,505,434.50943668
2013-07-04,769,568.64081325
2013-07-05,792,599.76771409
2013-07-06,831,530.7599155
2013-07-07,836,655.59950713
2013-07-08,879,641.84898844
2013-07-09,1049,1615.31922835
2013-07-10,853,2057.48038806
2013-07-11,765,1438.3532246
2013-07-12,1043,1236.5628006
2013-07-13,935,1113.14925695
2013-07-14,1208,996.0428106
2013-07-15,858,721.51450572
2013-07-16,871,1073.30576544
2013-07-17,1066,2446.90573416
2013-07-18,1003,4072.21965318
2013-07-19,805,953.13967154
2013-07-20,989,937.59985774
2013-07-21,987,994.04175274
2013-07-22,940,1006.90807825
2013-07-23,847,814.90714241
2013-07-24,1113,1464.26158837
2013-07-25,1071,4717.31023852
2013-07-26,729,1408.51946177
2013-07-27,1060,1136.92549704
2013-07-28,1291,1598.43467381
2013-07-29,909,1210.93208847
2013-07-30,896,1165.20418722
2013-07-31,1040,1252.68774379
2013-08-01,771,762.57020267
2013-08-02,1044,2129.83628483
2013-08-03,1219,5722.87706927
2013-08-04,1076,5825.41080837
2013-08-05,988,4796.6559233
2013-08-06,864,1740.16642953
2013-08-07,1279,5241.5871084
2013-08-08,1366,3223.89829007
2013-08-09,935,1920.42476551
2013-08-10,1379,1313.01001832
2013-08-11,710,852.66104396
2013-08-12,959,1336.15516751
2013-08-13,1010,1036.9425427
2013-08-14,1053,1802.302082
2013-08-15,1857,1594.94826917
2013-08-16,985,1383.46634865
2013-08-17,1143,1581.03066564
2013-08-18,1537,1300.72388676
2013-08-19,1555,1476.04055748
2013-08-20,1284,1455.72098895
2013-08-21,799,1020.41458598
2013-08-22,714,706.68434072
2013-08-23,1039,1366.54040006
2013-08-24,1242,1211.89017578
2013-08-25,924,816.74262978
2013-08-26,1112,991.42317397
2013-08-27,1190,1804.81130674
2013-08-28,972,1322.25904689
2013-08-29,806,1922.50444151
2013-08-30,1023,1488.82948656
2013-08-31,688,1073.31887465
2013-09-01,808,1028.56192846
2013-09-02,826,2107.13965524
2013-09-03,513,951.21272079
2013-09-04,385,564.90821562
2013-09-05,357,495.89401643
2013-09-06,841,1061.34230755
2013-09-07,418,484.62366478
2013-09-08,579,550.35007592
2013-09-09,733,760.13730202
2013-09-10,378,618.97048346
2013-09-11,314,240.03807305
2013-09-12,453,755.74502768
2013-09-13,501,2145.36321129
2013-09-14,473,1449.43078464
2013-09-15,536,1760.9816158
2013-09-16,463,1018.53735241
2013-09-17,549,1155.90748328
2013-09-18,384,993.8707728
2013-09-19,511,802.81519308
2013-09-20,516,1283.55228081
2013-09-21,538,739.97063621
2013-09-22,528,679.18826491
2013-09-23,798,1569.37156575
2013-09-24,768,1091.3328124
2013-09-25,533,984.20080419
2013-09-26,453,597.06787129
2013-09-27,766,682.67215469
2013-09-28,667,564.77629803
2013-09-29,508,428.7677392
2013-09-30,607,668.43108491
2013-10-01,633,640.57124827
2013-10-02,783,1278.42455574
2013-10-03,1167,1626.91541468
2013-10-04,785,1054.35627901
2013-10-05,793,940.72017115
2013-10-06,832,923.24026469
2013-10-07,468,518.10895565
2013-10-09,424,413.17772262
2013-10-10,753,916.66009773
2013-10-11,660,780.90854663
2013-10-12,781,704.40334702
2013-10-13,646,464.37063466
2013-10-14,683,426.85860465
2013-10-15,690,694.42255911
2013-10-16,373,648.05054128
2013-10-17,481,398.21972568
2013-10-18,590,488.84143447
2013-10-19,596,440.87469097
2013-10-20,841,754.20174405
2013-10-21,803,822.72373373
2013-10-22,795,753.84404843
2013-10-23,544,396.2809332
2013-10-24,604,423.18877441
2013-10-25,607,555.49033144
2013-10-26,488,324.22192656
2013-10-27,589,418.2476295
2013-10-28,501,501.57557957
2013-10-29,451,336.88093178
2013-10-30,388,302.90428339
2013-10-31,488,351.52149523
2013-11-01,190,149.33606003
2013-11-02,125,85.93412991
2013-11-03,136,92.60369594
2013-11-04,144,91.77614085
2013-11-05,137,80.66507888
2013-11-06,147,104.50643328
2013-11-07,123,64.83943001
2013-11-08,99,69.51382519
2013-11-09,125,71.34297455
2013-11-10,231,178.24840714
2013-11-11,169,96.6477669
2013-11-12,159,128.86915985
2013-11-13,295,200.80007879
2013-11-14,314,225.32575807
2013-11-15,205,113.97808958
2013-11-16,229,138.52777766
2013-11-17,444,236.11555921
2013-11-18,529,385.16102689
2013-11-19,365,305.55933472
2013-11-20,413,349.68522485
2013-11-21,268,183.90046528
2013-11-22,240,213.99961356
2013-11-23,240,174.55349688
2013-11-24,194,124.78212009
2013-11-25,192,109.34915224
2013-11-26,80,50.32500841
2013-11-27,173,107.37473534
2013-11-28,243,107.98115231
2013-11-29,163,70.94568186
2013-11-30,234,110.43711363
2013-12-01,123,51.60100095
2013-12-02,281,130.40258596
2013-12-03,356,144.14012916
2013-12-04,301,119.77905206
2013-12-05,312,132.21873036
2013-12-06,182,75.27121297
2013-12-07,194,84.48835525
2013-12-08,63,16.46565048
2013-12-09,96,36.43935166
2013-12-10,313,147.16316298
2013-12-11,285,118.17530043
2013-12-12,214,73.46682756
2013-12-13,264,118.0567045
2013-12-14,144,59.67834342
2013-12-15,116,46.93811477
2013-12-16,127,52.76958607
2013-12-17,176,80.87838601
2013-12-18,147,81.68911259
2013-12-19,276,122.76001567
2013-12-20,218,151.92568619
