address,txHash,value
14wvVvEQHkbnB4aAECddBgPuC4Q4qGQWh7,a61918bb7f019ac4a7ccde5ed54efa92723d40a03869e55268c6c5519ef3c6a7,102615767
14wvVvEQHkbnB4aAECddBgPuC4Q4qGQWh7,50926ed7cdb3611c6f44e8f28761262366d6849337f8aa6e18387c6cca76b17f,102343324
14wvVvEQHkbnB4aAECddBgPuC4Q4qGQWh7,fa2ef8daf5f8ac068a70dfbe0be594550fbef0f819495b1e15f0b1000f455624,1314879
