"date_format";"usdratesum";"euratesum";"gbpratesum";"jpyratesum";"cnyratesum"
"2013-04-06","2651596130536686","2034067574284186","1741545196183303","256181648480679232","17753755862308068"
"2013-04-07","14705987181972802","11688346264596702","9754600303269056","1426486306166407168","99169671528430800"
"2013-04-08","24292212989105932","18977822668755544","16111690653304038","2050874784541295104","158335853578010400"
"2013-04-09","38467374728487184","29565472536983400","25417700015400576","3680503021383159296","263689103770807680"
"2013-04-10","62497432895120816","49170574701391280","41990196496801664","4881565106390206464","422113412247757120"
"2013-04-11","40419885432105000","31208498359598488","26397718104749400","3960007272668375040","270307663663370304"
"2013-04-12","16209198920476230","23850659879304456","20174088123419584","3026380362544319488","131832997251162688"
"2013-04-13","16015604026818162","12220523715979282","10279423907127252","1597478039621126912","110431573212000304"
"2013-04-14","7779746037801773","5933734816152484","4961694199586085","815972636688343168","59989897022760464"
"2013-04-15","9013995437363562","6714738061909224","5772696458875284","972005914136286976","64681510929972488"
"2013-04-16","14797722788845618","11421806742302984","9717600656943492","1770582555503489024","95181722852524880"
"2013-04-17","9738756416475218","7284381977013638","6510161810016626","1391719988143579648","59852077854515104"
"2013-04-18","56894968519338856","43969346349111368","37740807848961864","5784793443313179648","352124779317567872"
"2013-04-19","20136748348871368","15312949209730686","13743920699673752","1991330042441425152","131831334011696096"
"2013-04-20","12440098267722256","9668945313835004","8442232877012532","1134747992595600128","79878949374486528"
"2013-04-21","12655399920486180","9862614402784440","8443101885191317","1079143963363733888","79883602097445760"
"2013-04-22","18925667735689488","14715278265715828","12603160787015506","1717787848399660544","118523568996500928"
"2013-04-23","20352432428050516","15366601897295224","13068843620814920","1737173154753977344","124065091107636192"
"2013-04-24";"18005901635663520";"13775357951168050";"11795166027586292";"1783659252952073472";"108631150700791264"
"2013-04-25";"26069179628875948";"20359696167446020";"17433013168697770";"2636211747461614080";"160554609936696064"
"2013-04-26";"16412263018282328";"13837824326785550";"11848652933274104";"1791747516739011072";"109123754543645424"
"2013-04-27";"12306712446616620";"10838499420313832";"9280477545896320";"1403389287428224000";"85471366194060736"
"2013-04-28";"6915192438215710";"6479092746731385";"5547730587236520";"838925113191864064";"51093503564087128"
"2013-04-29";"22922560551354700";"20493053150384004";"17547200238120392";"2653479060398693376";"161606250305091040"
"2013-04-30";"16551635200206096";"13893298659522218";"11896152894234690";"1798930437664758016";"109561219807408816"
"2013-05-01";"17627864700440462";"15260442248858662";"13066771158887932";"1975950760612321536";"120342382940105104"
"2013-05-02";"10948755560833856";"11549720759004570";"9889461631969242";"1495479563858763520";"91079989410881088"
"2013-05-03";"9361370728944410";"10514809792037142";"9003317930845628";"1361477345640070400";"82918780851868112"
"2013-05-04";"5040025829686598";"6162087349962910";"5276294353072602";"797878658269515520";"48593629430043272"
"2013-05-05";"7124801959660232";"7586321022040686";"6495796066479028";"982291112491950464";"59824999475966720"
"2013-05-06";"9481158166650238";"9780490146143056";"8374555892766995";"1266396256955009024";"77128006601322544"
"2013-05-07";"11285231665461220";"12107949885141700";"10367445960765836";"1567760120896296960";"95482130723066144"
"2013-05-08";"9003420304611571";"9736890265373106";"8337223444907015";"1260750862400572928";"76784182126107696"
"2013-05-09";"7635514248776728";"8133930855266133";"6964687613553875";"1053196663513025024";"64143398063446224"
"2013-05-10";"10265226061709874";"11053133652641824";"9464258353225362";"1431180531463347456";"87163951150489680"
"2013-05-11";"8261026612117911";"8407819486114810";"7199205067501742";"1088660278500263552";"66303257519616160"
"2013-05-12";"3572892301916846";"3706739642828088";"3173900065840825";"479955619712515008";"29230993065738224"
