scriptType,P2PKH,date,2009-03-26,count,1.0
scriptType,PUB_KEY,date,2009-03-27,count,90.0
scriptType,P2PKH,date,2009-03-28,count,3.0
scriptType,PUB_KEY,date,2009-03-28,count,105.0
scriptType,PUB_KEY,date,2009-03-29,count,104.0
scriptType,PUB_KEY,date,2009-03-30,count,103.0
scriptType,PUB_KEY,date,2009-03-31,count,99.0
scriptType,P2PKH,date,2009-03-31,count,1.0
scriptType,PUB_KEY,date,2009-04-01,count,100.0
scriptType,PUB_KEY,date,2009-04-02,count,105.0
scriptType,PUB_KEY,date,2009-04-03,count,98.0
scriptType,PUB_KEY,date,2009-04-04,count,101.0
scriptType,PUB_KEY,date,2009-04-05,count,110.0
scriptType,P2PKH,date,2009-04-05,count,2.0
scriptType,PUB_KEY,date,2009-04-06,count,98.0
scriptType,PUB_KEY,date,2009-04-07,count,95.0
scriptType,PUB_KEY,date,2009-04-08,count,99.0
scriptType,PUB_KEY,date,2009-04-09,count,86.0
scriptType,PUB_KEY,date,2009-04-10,count,96.0
scriptType,PUB_KEY,date,2009-04-11,count,100.0
scriptType,P2PKH,date,2009-04-12,count,1.0
scriptType,PUB_KEY,date,2009-04-12,count,106.0
scriptType,PUB_KEY,date,2009-04-13,count,101.0
scriptType,PUB_KEY,date,2009-04-14,count,100.0
scriptType,PUB_KEY,date,2009-04-15,count,101.0
scriptType,PUB_KEY,date,2009-04-16,count,109.0
scriptType,PUB_KEY,date,2009-04-17,count,109.0
scriptType,P2PKH,date,2009-04-18,count,3.0
scriptType,PUB_KEY,date,2009-04-18,count,111.0
scriptType,P2PKH,date,2009-04-19,count,1.0
scriptType,PUB_KEY,date,2009-04-19,count,108.0
scriptType,P2PKH,date,2009-04-20,count,1.0
scriptType,PUB_KEY,date,2009-04-20,count,106.0
scriptType,PUB_KEY,date,2009-04-21,count,107.0
scriptType,PUB_KEY,date,2009-04-22,count,111.0
scriptType,PUB_KEY,date,2009-04-23,count,66.0
scriptType,PUB_KEY,date,2009-04-24,count,103.0
scriptType,PUB_KEY,date,2009-04-25,count,101.0
scriptType,PUB_KEY,date,2009-04-26,count,104.0
scriptType,P2PKH,date,2009-04-26,count,2.0
scriptType,PUB_KEY,date,2009-04-27,count,98.0
scriptType,PUB_KEY,date,2009-04-28,count,106.0
scriptType,P2PKH,date,2009-04-29,count,1.0
scriptType,PUB_KEY,date,2009-04-29,count,120.0
scriptType,PUB_KEY,date,2009-04-30,count,117.0
scriptType,PUB_KEY,date,2009-05-01,count,97.0
scriptType,PUB_KEY,date,2009-05-02,count,99.0
scriptType,P2PKH,date,2009-05-02,count,2.0
scriptType,PUB_KEY,date,2009-05-03,count,85.0
scriptType,PUB_KEY,date,2009-05-04,count,107.0
scriptType,P2PKH,date,2009-05-04,count,1.0
scriptType,P2PKH,date,2009-05-05,count,1.0
scriptType,PUB_KEY,date,2009-05-05,count,115.0
scriptType,PUB_KEY,date,2009-05-06,count,111.0
scriptType,PUB_KEY,date,2009-05-07,count,103.0
scriptType,PUB_KEY,date,2009-05-08,count,101.0
scriptType,PUB_KEY,date,2009-05-09,count,68.0
scriptType,PUB_KEY,date,2009-05-10,count,76.0
scriptType,PUB_KEY,date,2009-05-11,count,115.0
scriptType,P2PKH,date,2009-05-11,count,1.0
scriptType,PUB_KEY,date,2009-05-12,count,120.0
scriptType,PUB_KEY,date,2009-05-13,count,104.0
scriptType,P2PKH,date,2009-05-14,count,1.0
scriptType,PUB_KEY,date,2009-05-14,count,117.0
scriptType,PUB_KEY,date,2009-05-15,count,112.0
scriptType,P2PKH,date,2009-05-15,count,1.0
scriptType,PUB_KEY,date,2009-05-16,count,103.0
scriptType,PUB_KEY,date,2009-05-17,count,110.0
scriptType,PUB_KEY,date,2009-05-18,count,104.0
scriptType,PUB_KEY,date,2009-05-19,count,80.0
scriptType,PUB_KEY,date,2009-05-20,count,97.0
scriptType,PUB_KEY,date,2009-05-21,count,73.0
scriptType,PUB_KEY,date,2009-05-22,count,55.0
scriptType,PUB_KEY,date,2009-05-23,count,29.0
scriptType,PUB_KEY,date,2009-05-24,count,86.0
scriptType,PUB_KEY,date,2009-05-25,count,96.0
scriptType,PUB_KEY,date,2009-05-26,count,101.0
scriptType,PUB_KEY,date,2009-05-27,count,96.0
scriptType,PUB_KEY,date,2009-05-28,count,85.0
scriptType,PUB_KEY,date,2009-05-29,count,95.0
scriptType,P2PKH,date,2009-05-29,count,1.0
scriptType,PUB_KEY,date,2009-05-30,count,94.0
scriptType,PUB_KEY,date,2009-05-31,count,75.0
scriptType,PUB_KEY,date,2009-06-01,count,63.0
scriptType,PUB_KEY,date,2009-06-02,count,101.0
scriptType,PUB_KEY,date,2009-06-03,count,68.0
scriptType,PUB_KEY,date,2009-06-04,count,62.0
scriptType,PUB_KEY,date,2009-06-05,count,27.0
scriptType,PUB_KEY,date,2009-06-06,count,28.0
scriptType,PUB_KEY,date,2009-06-07,count,16.0
scriptType,PUB_KEY,date,2009-06-08,count,80.0
scriptType,PUB_KEY,date,2009-06-09,count,78.0
scriptType,PUB_KEY,date,2009-06-10,count,70.0
scriptType,PUB_KEY,date,2009-06-11,count,73.0
scriptType,PUB_KEY,date,2009-06-12,count,72.0
scriptType,PUB_KEY,date,2009-06-13,count,67.0
