/*risultati da verificare*/

year(t.timestamp),month(t.timestamp),day(t.timestamp),"count(distinct i.id)/count(distinct t.txid)","count(distinct o.id)/count(distinct t.txid)"
2011,10,8,1.0000,1.0000
2011,10,12,1.0000,1.0000
2011,10,13,1.0000,1.0000
2011,10,14,1.0000,1.0000
2011,10,15,1.0000,1.0000
2011,10,16,1.0000,1.0000
2011,10,17,1.0000,1.0000
2011,10,18,1.0000,1.0000
2011,10,19,1.0000,1.0000
2011,10,20,1.0000,1.0000
2011,10,21,1.0000,1.0000
2011,10,22,1.0000,1.0000
2011,10,23,1.0000,1.0000
2011,10,24,1.0000,1.0000
2011,10,25,1.0000,1.0000
2011,10,26,1.0000,1.0000
2011,10,27,1.0000,1.0000
2011,10,28,1.0000,1.0000
2011,10,29,1.0000,1.0000
2011,10,30,1.0000,1.0000
2011,10,31,1.0000,1.0000
2011,11,1,1.0000,1.0000
2011,11,2,1.0000,1.0000
2011,11,3,1.0000,1.0000
2011,11,4,1.0000,1.0000
2011,11,5,1.0000,1.0000
2011,11,6,1.0000,1.0000
2011,11,7,1.0000,1.0000
2011,11,8,1.0000,1.0000
2011,11,9,1.0000,1.0000
2011,11,10,1.0000,1.0000
2011,11,11,1.0000,1.0000
2011,11,12,1.0000,1.0000
2011,11,13,1.0000,1.0000
2011,11,14,1.0000,1.0000
2011,11,15,1.0000,1.0000
2011,11,16,1.0000,1.0000
2011,11,17,1.0000,1.0000
2011,11,18,1.0000,1.0000
2011,11,19,1.0000,1.0000
2011,11,20,1.0000,1.0000
2011,11,21,1.0000,1.0000
2011,11,22,1.0000,1.0000
2011,11,23,1.0000,1.0000
2011,11,24,1.0000,1.0000
2011,11,25,1.0000,1.0000
2011,11,26,1.0000,1.0000
2011,11,27,1.0000,1.0000
2011,11,28,1.0000,1.0000
2011,11,29,1.0000,1.0000
2011,11,30,1.0000,1.0000
2011,12,1,1.0000,1.0000
2011,12,2,1.0000,1.0000
2011,12,3,1.0000,1.0000
2011,12,4,1.0000,1.0000
2011,12,5,1.0000,1.0000
2011,12,6,1.0000,1.0000
2011,12,7,1.0000,1.0000
2011,12,8,1.0000,1.0000
2011,12,9,1.0000,1.0000
2011,12,10,1.0000,1.0000
2011,12,11,1.0000,1.0000
2011,12,12,1.0000,1.0000
2011,12,13,1.0000,1.0000
2011,12,14,1.0000,1.0000
2011,12,15,1.0000,1.0000
2011,12,16,1.0000,1.0000
2011,12,17,1.0000,1.0000
2011,12,18,1.0000,1.0000
2011,12,19,1.0000,1.0000
2011,12,20,1.0000,1.0000
2011,12,21,1.0000,1.0000
2011,12,22,1.0000,1.0000
2011,12,23,1.0000,1.0000
2011,12,24,1.0000,1.0000
2011,12,25,1.0000,1.0000
2011,12,26,1.0000,1.0000
2011,12,27,1.0000,1.0000
2011,12,28,1.0000,1.0000
2011,12,29,1.0000,1.0000
2011,12,30,1.0000,1.0000
2011,12,31,1.0000,1.0000
2012,1,1,1.0000,1.0000
2012,1,2,1.0000,1.0000
2012,1,3,1.0000,1.0000
2012,1,4,1.0000,1.0000
2012,1,5,1.0000,1.0000
2012,1,6,1.0000,1.0000
2012,1,7,1.0000,1.0000
2012,1,8,1.0000,1.0000
2012,1,9,1.0000,1.0000
2012,1,10,1.0000,1.0000
2012,1,11,1.0000,1.0000
2012,1,12,1.0000,1.0000
2012,1,13,1.0000,1.0000
2012,1,14,1.0000,1.0000
2012,1,15,1.0000,1.0000
2012,1,16,1.0000,1.0000
2012,1,17,1.0000,1.0000
2012,1,18,1.0000,1.0000
2012,1,19,1.0000,1.0000
2012,1,20,1.0000,1.0000
2012,1,21,1.0000,1.0000
2012,1,22,1.0000,1.0000
2012,1,23,1.0000,1.0000
2012,1,24,1.0000,1.0000
2012,1,25,1.0000,1.0000
2012,1,26,1.0000,1.0000
2012,1,27,1.0000,1.0000
2012,1,28,1.0000,1.0000
2012,1,29,1.0000,1.0000
2012,1,30,1.0000,1.0000
2012,1,31,1.0000,1.0000
2012,2,1,1.0000,1.0000
2012,2,2,1.0000,1.0000
2012,2,3,1.0000,1.0000
2012,2,4,1.0000,1.0000
2012,2,5,1.0000,1.0000
2012,2,6,1.0000,1.0000
2012,2,7,1.0000,1.0000
2012,2,8,1.0000,1.0000
2012,2,9,1.0000,1.0000
2012,2,10,1.0000,1.0000
2012,2,11,1.0000,1.0000
2012,2,12,1.0000,1.0000
2012,2,13,1.0000,1.0000
2012,2,14,1.0000,1.0000
2012,2,15,1.0000,1.0000
2012,2,16,1.0000,1.0000
2012,2,17,1.0000,1.0000
2012,2,18,1.0000,1.0000
2012,2,19,1.0000,1.0000
2012,2,20,1.0000,1.0000
2012,2,21,1.0000,1.0000
2012,2,22,1.0000,1.0000
2012,2,23,1.0000,1.0000
2012,2,24,1.0000,1.0000
2012,2,25,1.0000,1.0000
2012,2,26,1.0000,1.0000
2012,2,27,1.0000,1.0000
