/*Results updated for block range 800.000-1.430.000+*/

Pool,Blocks
AntPool,294
BTCCPool,2043
BW.COM,24563
CoinMine,7
F2Pool,158
Give-Me-Coins.com,1132
LitecoinPool.org,36238
LTC.TOP,4725
"Mining Pool Hub",249
ProHashing.com,1499
Unknown,545782
ViaBTC,15299
zpool.ca,125
